t,I0,Tmax,fracLeft,V_CL_plus,V_CL_minus,V1_1,V1_2,V1_3,V1_4,V1_5,V1_6,V1_7,V1_8,V1_9,V1_10,V2_1,V2_2,V2_3,V2_4,V2_5,V2_6,V2_7,V2_8,V2_9,V2_10,RTD1_1,RTD1_2,RTD1_3,RTD1_4,RTD1_5,RTD1_6,RTD1_7,RTD1_8,RTD2_1,RTD2_2,RTD2_3,RTD2_4,RTD2_5,RTD2_6,RTD2_7,RTD2_8,H1,H2
0.6,217.672,87.8396,0.208232,0,7.9559e-05,7.41748e-09,7.41902e-09,7.42036e-09,7.4208e-09,7.44227e-09,7.97999e-05,7.98222e-05,7.97804e-05,7.99209e-05,7.99193e-05,7.74869e-06,1.47351e-05,2.17054e-05,2.86845e-05,3.59016e-05,4.39083e-05,5.10767e-05,5.79696e-05,6.49604e-05,7.20495e-05,77.0013,77.0013,77.0018,77.4421,77.4355,77.0018,77.0013,77.0013,77.1064,77.1064,77.1065,77.1169,77.1164,77.1064,77.1064,77.1064,-999,-999
0.61,217.672,87.2685,0.242869,0,4.42049e-05,7.42243e-09,7.42419e-09,7.42575e-09,7.42641e-09,7.57865e-09,4.43323e-05,4.43448e-05,4.43218e-05,4.43976e-05,4.43977e-05,4.29232e-06,8.16505e-06,1.20289e-05,1.58979e-05,1.99189e-05,2.4423e-05,2.8417e-05,3.22383e-05,3.61135e-05,4.0043e-05,77.0016,77.0016,77.0025,77.5489,77.5413,77.0024,77.0016,77.0016,77.1071,77.1071,77.1071,77.1211,77.1206,77.1071,77.1071,77.1071,-999,-999
0.62,217.672,86.773,0.270083,0,2.73286e-05,7.42964e-09,7.43394e-09,7.43804e-09,7.44128e-09,8.02013e-09,2.74002e-05,2.74083e-05,2.73943e-05,2.74384e-05,2.74397e-05,2.64632e-06,5.03458e-06,7.41742e-06,9.80369e-06,1.22968e-05,1.51134e-05,1.75899e-05,1.99467e-05,2.23366e-05,2.47598e-05,77.0018,77.0018,77.0033,77.658,77.6495,77.0033,77.0018,77.0018,77.1073,77.1073,77.1074,77.1254,77.1248,77.1074,77.1073,77.1073,-999,-999
0.63,217.672,86.3383,0.291808,0,1.838e-05,7.44182e-09,7.45342e-09,7.46481e-09,7.47546e-09,8.97165e-09,1.84209e-05,1.84272e-05,1.84181e-05,1.84449e-05,1.84471e-05,1.77538e-06,3.3774e-06,4.97584e-06,6.57679e-06,8.25873e-06,1.01732e-05,1.18439e-05,1.34252e-05,1.50283e-05,1.66537e-05,77.0021,77.0021,77.0045,77.767,77.7578,77.0044,77.0021,77.0021,77.1073,77.1074,77.1075,77.13,77.1294,77.1075,77.1074,77.1073,-999,-999
0.64,217.672,85.9533,0.309458,0,1.32014e-05,7.46048e-09,7.48549e-09,7.51026e-09,7.53463e-09,1.05478e-08,1.32234e-05,1.32297e-05,1.32234e-05,1.32403e-05,1.32429e-05,1.27231e-06,2.4198e-06,3.56478e-06,4.71176e-06,5.92368e-06,7.31234e-06,8.51622e-06,9.64907e-06,1.07974e-05,1.19617e-05,77.0023,77.0023,77.006,77.8743,77.8645,77.0059,77.0023,77.0023,77.1073,77.1073,77.1075,77.1348,77.1342,77.1075,77.1073,77.1073,-999,-999
0.65,217.672,85.6092,0.32406,0,9.97885e-06,7.48718e-09,7.53309e-09,7.5787e-09,7.62463e-09,1.2753e-08,9.98818e-06,9.99564e-06,9.99111e-06,1.0002e-05,1.00048e-05,9.5983e-07,1.82477e-06,2.68785e-06,3.55265e-06,4.47179e-06,5.53117e-06,6.44424e-06,7.29838e-06,8.164e-06,9.04157e-06,77.0025,77.0025,77.008,77.9784,77.9681,77.0079,77.0025,77.0025,77.1072,77.1072,77.1074,77.14,77.1393,77.1074,77.1072,77.1072,-999,-999
0.66,217.672,85.2994,0.336353,0,7.84995e-06,7.52285e-09,7.59792e-09,7.67261e-09,7.74897e-09,1.55125e-08,7.84993e-06,7.85934e-06,7.85597e-06,7.86317e-06,7.86601e-06,7.5374e-07,1.43219e-06,2.10924e-06,2.78781e-06,3.51336e-06,4.35395e-06,5.07474e-06,5.74495e-06,6.42398e-06,7.11234e-06,77.0028,77.0028,77.0105,78.0785,78.0677,77.0104,77.0028,77.0028,77.107,77.1071,77.1074,77.1454,77.1447,77.1074,77.1071,77.107,-999,-999
0.67,217.672,85.0184,0.346868,0,6.37281e-06,7.56785e-09,7.68065e-09,7.79298e-09,7.90921e-09,1.87176e-08,6.36532e-06,6.37726e-06,6.37472e-06,6.37959e-06,6.38232e-06,6.10973e-07,1.16015e-06,1.70824e-06,2.25774e-06,2.84886e-06,3.53685e-06,4.12411e-06,4.66685e-06,5.21653e-06,5.77373e-06,77.003,77.003,77.0136,78.1738,78.1628,77.0134,77.003,77.003,77.1068,77.1069,77.1074,77.151,77.1503,77.1074,77.1069,77.1068,-999,-999
0.68,217.672,84.7621,0.355988,0,5.30591e-06,7.62216e-09,7.78121e-09,7.93968e-09,8.10555e-09,2.22562e-08,5.29202e-06,5.30692e-06,5.30499e-06,5.30838e-06,5.31095e-06,5.0801e-07,9.63904e-07,1.41892e-06,1.87531e-06,2.36926e-06,2.94649e-06,3.43724e-06,3.888e-06,4.34435e-06,4.80689e-06,77.0033,77.0033,77.0173,78.2641,78.2529,77.0171,77.0033,77.0033,77.1066,77.1067,77.1074,77.1568,77.1561,77.1074,77.1067,77.1066,-999,-999
0.69,217.672,84.527,0.363991,0,4.50945e-06,7.6855e-09,7.89902e-09,8.11184e-09,8.33719e-09,2.60282e-08,4.48983e-06,4.50796e-06,4.5065e-06,4.50894e-06,4.51133e-06,4.31255e-07,8.17564e-07,1.20317e-06,1.59011e-06,2.01148e-06,2.50565e-06,2.9243e-06,3.30648e-06,3.69321e-06,4.08515e-06,77.0035,77.0035,77.0217,78.3492,78.3378,77.0214,77.0035,77.0035,77.1064,77.1066,77.1074,77.1628,77.1621,77.1074,77.1066,77.1064,-999,-999
0.7,217.672,84.3104,0.371086,0,3.89837e-06,7.75737e-09,8.03314e-09,8.30808e-09,8.60274e-09,2.99503e-08,3.87346e-06,3.895e-06,3.89393e-06,3.89576e-06,3.89797e-06,3.72444e-07,7.05405e-07,1.03779e-06,1.37152e-06,1.73716e-06,2.16733e-06,2.53063e-06,2.86024e-06,3.1936e-06,3.53142e-06,77.0037,77.0038,77.0268,78.429,78.4175,77.0264,77.0038,77.0037,77.1061,77.1064,77.1075,77.1689,77.1682,77.1075,77.1064,77.1061,-999,-999
0.71,217.672,84.1098,0.377428,0,3.41864e-06,7.8372e-09,8.18242e-09,8.52671e-09,8.9004e-09,3.39552e-08,3.38876e-06,3.41381e-06,3.41305e-06,3.41449e-06,3.41655e-06,3.26332e-07,6.17441e-07,9.08079e-07,1.20008e-06,1.52195e-06,1.90167e-06,2.22148e-06,2.50989e-06,2.80137e-06,3.09673e-06,77.004,77.004,77.0326,78.5036,78.492,77.0322,77.004,77.004,77.1059,77.1062,77.1077,77.175,77.1744,77.1076,77.1062,77.1059,-999,-999
0.72,217.672,83.9235,0.383139,0,3.03464e-06,7.9243e-09,8.3456e-09,8.76586e-09,9.22818e-09,3.79897e-08,3.00001e-06,3.0286e-06,3.02813e-06,3.02933e-06,3.03126e-06,2.89464e-07,5.47092e-07,8.04336e-07,1.06297e-06,1.34978e-06,1.68896e-06,1.97395e-06,2.2294e-06,2.4874e-06,2.74878e-06,77.0042,77.0043,77.0391,78.573,78.5615,77.0387,77.0043,77.0042,77.1056,77.106,77.1079,77.1813,77.1806,77.1078,77.106,77.1056,-999,-999
0.74,217.672,83.5972,0.392774,0,2.47758e-06,8.11178e-09,8.69749e-09,9.28212e-09,9.94443e-09,4.56034e-08,2.43445e-06,2.4697e-06,2.46969e-06,2.4707e-06,2.47245e-06,2.36031e-07,4.45101e-07,6.5392e-07,8.64234e-07,1.10022e-06,1.38032e-06,1.61482e-06,1.82254e-06,2.03197e-06,2.24409e-06,77.0047,77.0049,77.055,78.6933,78.6819,77.0544,77.0049,77.0047,77.1051,77.1056,77.1085,77.194,77.1933,77.1084,77.1056,77.1051,-999,-999
0.76,217.672,83.3075,0.40092,0,2.08348e-06,8.32029e-09,9.08943e-09,9.85777e-09,1.07561e-08,5.30157e-08,2.03241e-06,2.0741e-06,2.0745e-06,2.07551e-06,2.07717e-06,1.98302e-07,3.7305e-07,5.47649e-07,7.23864e-07,9.23836e-07,1.16187e-06,1.3606e-06,1.53464e-06,1.70975e-06,1.88705e-06,77.0051,77.0057,77.0736,78.7966,78.7854,77.0728,77.0057,77.0051,77.1045,77.1052,77.1095,77.2066,77.2059,77.1094,77.1052,77.1045,-999,-999
0.78,217.672,83.0484,0.407904,0,1.79377e-06,8.54514e-09,9.51251e-09,1.04799e-08,1.16491e-08,6.00852e-08,1.73531e-06,1.78305e-06,1.78385e-06,1.78496e-06,1.78661e-06,1.70611e-07,3.20146e-07,4.69611e-07,6.20823e-07,7.94296e-07,1.00121e-06,1.17362e-06,1.32297e-06,1.47287e-06,1.62459e-06,77.0056,77.0065,77.0944,78.8848,78.8739,77.0935,77.0065,77.0056,77.1038,77.1048,77.1108,77.2192,77.2185,77.1106,77.1048,77.1038,-999,-999
0.8,217.672,82.8147,0.413962,0,1.57405e-06,8.78212e-09,9.95875e-09,1.1137e-08,1.26108e-08,6.67271e-08,1.50873e-06,1.56208e-06,1.56327e-06,1.56454e-06,1.56625e-06,1.49635e-07,2.80056e-07,4.10474e-07,5.42774e-07,6.96133e-07,8.79321e-07,1.03175e-06,1.16242e-06,1.29322e-06,1.42555e-06,77.0061,77.0076,77.1173,78.9598,78.9491,77.1162,77.0076,77.0061,77.1032,77.1044,77.1124,77.2316,77.2309,77.1122,77.1044,77.1032,-999,-999
0.82,217.672,82.6028,0.419268,0,1.40305e-06,9.02762e-09,1.04213e-08,1.18194e-08,1.36302e-08,7.28977e-08,1.33142e-06,1.38987e-06,1.39146e-06,1.39292e-06,1.39472e-06,1.33326e-07,2.48873e-07,3.64475e-07,4.82098e-07,6.19794e-07,7.84425e-07,9.21295e-07,1.03748e-06,1.15341e-06,1.27065e-06,77.0066,77.0089,77.1419,79.023,79.0127,77.1406,77.0089,77.0066,77.1025,77.1041,77.1143,77.2438,77.2431,77.1141,77.1041,77.1025,-999,-999
0.84,217.672,82.4094,0.423957,0,1.26705e-06,9.27859e-09,1.08944e-08,1.25188e-08,1.46979e-08,7.85825e-08,1.18964e-06,1.25268e-06,1.25468e-06,1.25634e-06,1.25828e-06,1.20364e-07,2.2408e-07,3.27903e-07,4.33888e-07,5.59122e-07,7.08929e-07,8.33419e-07,9.38107e-07,1.04223e-06,1.14746e-06,77.0071,77.0104,77.1677,79.0761,79.0661,77.1663,77.0104,77.007,77.1018,77.1038,77.1165,77.2558,77.2551,77.1163,77.1038,77.1018,-999,-999
0.86,217.672,82.232,0.428131,0,1.15687e-06,9.53252e-09,1.13734e-08,1.32286e-08,1.58058e-08,8.37874e-08,1.07419e-06,1.14131e-06,1.14374e-06,1.14562e-06,1.14772e-06,1.09867e-07,2.03995e-07,2.98279e-07,3.94865e-07,5.10001e-07,6.47749e-07,7.62209e-07,8.57615e-07,9.52172e-07,1.04767e-06,77.0075,77.0123,77.1946,79.1203,79.1106,77.1931,77.0122,77.0075,77.101,77.1035,77.119,77.2676,77.2669,77.1188,77.1035,77.101,-999,-999
0.88,217.672,82.0686,0.431871,0,1.0662e-06,9.78737e-09,1.18543e-08,1.39435e-08,1.69469e-08,8.85316e-08,9.78708e-07,1.04943e-06,1.0523e-06,1.05442e-06,1.0567e-06,1.01228e-07,1.87461e-07,2.73894e-07,3.62771e-07,4.69595e-07,5.97381e-07,7.03586e-07,7.91379e-07,8.78062e-07,9.65555e-07,77.008,77.0144,77.2222,79.1568,79.1474,77.2205,77.0143,77.008,77.1003,77.1032,77.1218,77.2791,77.2784,77.1216,77.1032,77.1003,-999,-999
0.9,217.672,81.9173,0.435243,0,9.90536e-07,1.00415e-08,1.23341e-08,1.46593e-08,1.81154e-08,9.28422e-08,8.98686e-07,9.72555e-07,9.75897e-07,9.78249e-07,9.80711e-07,9.40183e-08,1.73657e-07,2.5354e-07,3.36008e-07,4.35897e-07,5.55342e-07,6.54659e-07,7.36123e-07,8.16237e-07,8.9704e-07,77.0085,77.0169,77.2503,79.1865,79.1775,77.2484,77.0168,77.0085,77.0996,77.1031,77.1249,77.2903,77.2896,77.1247,77.103,77.0996,-999,-999
